HDF5 "solver.out.h5" {
DATASET "/gf/data" {
   DATATYPE  H5T_IEEE_F64LE
   DATASPACE  SIMPLE { ( 500, 4, 4, 2 ) / ( 500, 4, 4, 2 ) }
   DATA {
   (14,3,0,0): 0, 0,
   (14,3,1,0): 0, 0,
   (14,3,2,0): 0, 0,
   (14,3,3,0): 0.0020607, -0.262507,
   (15,0,0,0): 0.000108411, -0.251286,
   (15,0,1,0): 0, 0,
   (15,0,2,0): 0, 0,
   (15,0,3,0): 0, 0,
   (15,1,0,0): 0, 0,
   (15,1,1,0): -0.00265682, -0.256675,
   (15,1,2,0): 0, 0,
   (15,1,3,0): 0, 0,
   (15,2,0,0): 0, 0,
   (15,2,1,0): 0, 0,
   (15,2,2,0): -0.000442885, -0.255933,
   (15,2,3,0): 0, 0,
   (15,3,0,0): 0, 0,
   (15,3,1,0): 0, 0,
   (15,3,2,0): 0, 0,
   (15,3,3,0): -0.00010993, -0.25666,
   (16,0,0,0): 0.00151016, -0.245744,
   (16,0,1,0): 0, 0,
   (16,0,2,0): 0, 0,
   (16,0,3,0): 0, 0,
   (16,1,0,0): 0, 0,
   (16,1,1,0): -0.0027503, -0.249346,
   (16,1,2,0): 0, 0,
   (16,1,3,0): 0, 0,
   (16,2,0,0): 0, 0,
   (16,2,1,0): 0, 0,
   (16,2,2,0): -0.00037662, -0.250226,
   (16,2,3,0): 0, 0,
   (16,3,0,0): 0, 0,
   (16,3,1,0): 0, 0,
   (16,3,2,0): 0, 0,
   (16,3,3,0): -0.00143051, -0.25097,
   (17,0,0,0): 0.00222065, -0.240829,
   (17,0,1,0): 0, 0,
   (17,0,2,0): 0, 0,
   (17,0,3,0): 0, 0,
   (17,1,0,0): 0, 0,
   (17,1,1,0): -0.00111782, -0.240337,
   (17,1,2,0): 0, 0,
   (17,1,3,0): 0, 0,
   (17,2,0,0): 0, 0,
   (17,2,1,0): 0, 0,
   (17,2,2,0): -0.000514974, -0.24406,
   (17,2,3,0): 0, 0,
   (17,3,0,0): 0, 0,
   (17,3,1,0): 0, 0,
   (17,3,2,0): 0, 0,
   (17,3,3,0): -0.00186327, -0.24531,
   (18,0,0,0): 0.00139889, -0.23623,
   (18,0,1,0): 0, 0,
   (18,0,2,0): 0, 0,
   (18,0,3,0): 0, 0,
   (18,1,0,0): 0, 0,
   (18,1,1,0): 0.000768076, -0.232419,
   (18,1,2,0): 0, 0,
   (18,1,3,0): 0, 0,
   (18,2,0,0): 0, 0,
   (18,2,1,0): 0, 0,
   (18,2,2,0): -0.000658436, -0.237777,
   (18,2,3,0): 0, 0,
   (18,3,0,0): 0, 0,
   (18,3,1,0): 0, 0,
   (18,3,2,0): 0, 0,
   (18,3,3,0): -0.00174131, -0.239668,
   (19,0,0,0): -0.000241131, -0.231612,
   (19,0,1,0): 0, 0,
   (19,0,2,0): 0, 0,
   (19,0,3,0): 0, 0,
   (19,1,0,0): 0, 0,
   (19,1,1,0): 0.00176814, -0.226312,
   (19,1,2,0): 0, 0,
   (19,1,3,0): 0, 0,
   (19,2,0,0): 0, 0,
   (19,2,1,0): 0, 0,
   (19,2,2,0): -0.00064356, -0.231543,
   (19,2,3,0): 0, 0,
   (19,3,0,0): 0, 0,
   (19,3,1,0): 0, 0,
   (19,3,2,0): 0, 0,
   (19,3,3,0): -0.00137997, -0.234014,
   (20,0,0,0): -0.00183126, -0.226772,
   (20,0,1,0): 0, 0,
   (20,0,2,0): 0, 0,
   (20,0,3,0): 0, 0,
   (20,1,0,0): 0, 0,
   (20,1,1,0): 0.00158613, -0.221562,
   (20,1,2,0): 0, 0,
   (20,1,3,0): 0, 0,
   (20,2,0,0): 0, 0,
   (20,2,1,0): 0, 0,
   (20,2,2,0): -0.000447862, -0.225417,
   (20,2,3,0): 0, 0,
   (20,3,0,0): 0, 0,
   (20,3,1,0): 0, 0,
   (20,3,2,0): 0, 0,
   (20,3,3,0): -0.000965412, -0.228329,
   (21,0,0,0): -0.00290153, -0.22167,
   (21,0,1,0): 0, 0,
   (21,0,2,0): 0, 0,
   (21,0,3,0): 0, 0,
   (21,1,0,0): 0, 0,
   (21,1,1,0): 0.000491915, -0.21746,
   (21,1,2,0): 0, 0,
   (21,1,3,0): 0, 0,
   (21,2,0,0): 0, 0,
   (21,2,1,0): 0, 0,
   (21,2,2,0): -0.000135356, -0.21943,
   (21,2,3,0): 0, 0,
   (21,3,0,0): 0, 0,
   (21,3,1,0): 0, 0,
   (21,3,2,0): 0, 0,
   (21,3,3,0): -0.000575755, -0.222627,
   (22,0,0,0): -0.00336842, -0.216376,
   (22,0,1,0): 0, 0,
   (22,0,2,0): 0, 0,
   (22,0,3,0): 0, 0,
   (22,1,0,0): 0, 0,
   (22,1,1,0): -0.00105606, -0.213479,
   (22,1,2,0): 0, 0,
   (22,1,3,0): 0, 0,
   (22,2,0,0): 0, 0,
   (22,2,1,0): 0, 0,
   (22,2,2,0): 0.000210522, -0.213613,
   (22,2,3,0): 0, 0,
   (22,3,0,0): 0, 0,
   (22,3,1,0): 0, 0,
   (22,3,2,0): 0, 0,
   (22,3,3,0): -0.000229461, -0.216945,
   (23,0,0,0): -0.0033603, -0.211008,
   (23,0,1,0): 0, 0,
   (23,0,2,0): 0, 0,
   (23,0,3,0): 0, 0,
   (23,1,0,0): 0, 0,
   (23,1,1,0): -0.00264605, -0.209347,
   (23,1,2,0): 0, 0,
   (23,1,3,0): 0, 0,
   (23,2,0,0): 0, 0,
   (23,2,1,0): 0, 0,
   (23,2,2,0): 0.000523908, -0.207999,
   (23,2,3,0): 0, 0,
   (23,3,0,0): 0, 0,
   (23,3,1,0): 0, 0,
   (23,3,2,0): 0, 0,
   (23,3,3,0): 7.85491e-05, -0.211332,
   (24,0,0,0): -0.0030682, -0.205681,
   (24,0,1,0): 0, 0,
   (24,0,2,0): 0, 0,
   (24,0,3,0): 0, 0,
   (24,1,0,0): 0, 0,
   (24,1,1,0): -0.0040019, -0.204991,
   (24,1,2,0): 0, 0,
   (24,1,3,0): 0, 0,
   (24,2,0,0): 0, 0,
   (24,2,1,0): 0, 0,
   (24,2,2,0): 0.000766939, -0.202614,
   (24,2,3,0): 0, 0,
   (24,3,0,0): 0, 0,
   (24,3,1,0): 0, 0,
   (24,3,2,0): 0, 0,
   (24,3,3,0): 0.000357922, -0.205837,
   (25,0,0,0): -0.00266306, -0.200486,
   (25,0,1,0): 0, 0,
   (25,0,2,0): 0, 0,
   (25,0,3,0): 0, 0,
   (25,1,0,0): 0, 0,
   (25,1,1,0): -0.00498524, -0.200452,
   (25,1,2,0): 0, 0,
   (25,1,3,0): 0, 0,
   (25,2,0,0): 0, 0,
   (25,2,1,0): 0, 0,
   (25,2,2,0): 0.000926325, -0.197472,
   (25,2,3,0): 0, 0,
   (25,3,0,0): 0, 0,
   (25,3,1,0): 0, 0,
   (25,3,2,0): 0, 0,
   (25,3,3,0): 0.000615644, -0.200499,
   (26,0,0,0): -0.00226555, -0.195485,
   (26,0,1,0): 0, 0,
   (26,0,2,0): 0, 0,
   (26,0,3,0): 0, 0,
   (26,1,0,0): 0, 0,
   (26,1,1,0): -0.00556214, -0.195814,
   (26,1,2,0): 0, 0,
   (26,1,3,0): 0, 0,
   (26,2,0,0): 0, 0,
   (26,2,1,0): 0, 0,
   (26,2,2,0): 0.00100545, -0.192579,
   (26,2,3,0): 0, 0,
   (26,3,0,0): 0, 0,
   (26,3,1,0): 0, 0,
   (26,3,2,0): 0, 0,
   (26,3,3,0): 0.000854784, -0.195344,
   (27,0,0,0): -0.00194513, -0.190708,
   (27,0,1,0): 0, 0,
   (27,0,2,0): 0, 0,
   (27,0,3,0): 0, 0,
   (27,1,0,0): 0, 0,
   (27,1,1,0): -0.0057641, -0.191168,
   (27,1,2,0): 0, 0,
   (27,1,3,0): 0, 0,
   (27,2,0,0): 0, 0,
   (27,2,1,0): 0, 0,
   (27,2,2,0): 0.00101678, -0.187928,
   (27,2,3,0): 0, 0,
   (27,3,0,0): 0, 0,
   (27,3,1,0): 0, 0,
   (27,3,2,0): 0, 0,
   (27,3,3,0): 0.00107551, -0.190388,
   (28,0,0,0): -0.00173097, -0.186168,
   (28,0,1,0): 0, 0,
   (28,0,2,0): 0, 0,
   (28,0,3,0): 0, 0,
   (28,1,0,0): 0, 0,
   (28,1,1,0): -0.00565581, -0.18659,
   (28,1,2,0): 0, 0,
   (28,1,3,0): 0, 0,
   (28,2,0,0): 0, 0,
   (28,2,1,0): 0, 0,
   (28,2,2,0): 0.000976259, -0.183509,
   (28,2,3,0): 0, 0,
   (28,3,0,0): 0, 0,
   (28,3,1,0): 0, 0,
   (28,3,2,0): 0, 0,
   (28,3,3,0): 0.0012765, -0.185636,
   (29,0,0,0): -0.00162541, -0.18186,
   (29,0,1,0): 0, 0,
   (29,0,2,0): 0, 0,
   (29,0,3,0): 0, 0,
   (29,1,0,0): 0, 0,
   (29,1,1,0): -0.00531282, -0.182135,
   (29,1,2,0): 0, 0,
   (29,1,3,0): 0, 0,
   (29,2,0,0): 0, 0,
   (29,2,1,0): 0, 0,
   (29,2,2,0): 0.00089977, -0.179305,
   (29,2,3,0): 0, 0,
   (29,3,0,0): 0, 0,
   (29,3,1,0): 0, 0,
   (29,3,2,0): 0, 0,
   (29,3,3,0): 0.00145612, -0.181088,
   (30,0,0,0): -0.00161535, -0.177771,
   (30,0,1,0): 0, 0,
   (30,0,2,0): 0, 0,
   (30,0,3,0): 0, 0,
   (30,1,0,0): 0, 0,
   (30,1,1,0): -0.00480808, -0.177838,
   (30,1,2,0): 0, 0,
   (30,1,3,0): 0, 0,
   (30,2,0,0): 0, 0,
   (30,2,1,0): 0, 0,
   (30,2,2,0): 0.000801288, -0.175299,
   (30,2,3,0): 0, 0,
   (30,3,0,0): 0, 0,
   (30,3,1,0): 0, 0,
   (30,3,2,0): 0, 0,
   (30,3,3,0): 0.00161309, -0.176739,
   (31,0,0,0): -0.00168072, -0.173885,
   (31,0,1,0): 0, 0,
   (31,0,2,0): 0, 0,
   (31,0,3,0): 0, 0,
   (31,1,0,0): 0, 0,
   (31,1,1,0): -0.00420504, -0.173718,
   (31,1,2,0): 0, 0,
   (31,1,3,0): 0, 0,
   (31,2,0,0): 0, 0,
   (31,2,1,0): 0, 0,
   (31,2,2,0): 0.000692122, -0.171474,
   (31,2,3,0): 0, 0,
   (31,3,0,0): 0, 0,
   (31,3,1,0): 0, 0,
   (31,3,2,0): 0, 0,
   (31,3,3,0): 0.00174679, -0.172579,
   (32,0,0,0): -0.00179981, -0.170181,
   (32,0,1,0): 0, 0,
   (32,0,2,0): 0, 0,
   (32,0,3,0): 0, 0,
   (32,1,0,0): 0, 0,
   (32,1,1,0): -0.00355508, -0.16978,
   (32,1,2,0): 0, 0,
   (32,1,3,0): 0, 0,
   (32,2,0,0): 0, 0,
   (32,2,1,0): 0, 0,
   (32,2,2,0): 0.000580833, -0.167812,
   (32,2,3,0): 0, 0,
   (32,3,0,0): 0, 0,
   (32,3,1,0): 0, 0,
   (32,3,2,0): 0, 0,
   (32,3,3,0): 0.00185738, -0.1686,
   (33,0,0,0): -0.00195245, -0.166642,
   (33,0,1,0): 0, 0,
   (33,0,2,0): 0, 0,
   (33,0,3,0): 0, 0,
   (33,1,0,0): 0, 0,
   (33,1,1,0): -0.00289738, -0.166023,
   (33,1,2,0): 0, 0,
   (33,1,3,0): 0, 0,
   (33,2,0,0): 0, 0,
   (33,2,1,0): 0, 0,
   (33,2,2,0): 0.000473503, -0.1643,
   (33,2,3,0): 0, 0,
   (33,3,0,0): 0, 0,
   (33,3,1,0): 0, 0,
   (33,3,2,0): 0, 0,
   (33,3,3,0): 0.00194565, -0.16479,
   (34,0,0,0): -0.00212152, -0.163252,
   (34,0,1,0): 0, 0,
   (34,0,2,0): 0, 0,
   (34,0,3,0): 0, 0,
   (34,1,0,0): 0, 0,
   (34,1,1,0): -0.00226018, -0.162438,
   (34,1,2,0): 0, 0,
   (34,1,3,0): 0, 0,
   (34,2,0,0): 0, 0,
   (34,2,1,0): 0, 0,
   (34,2,2,0): 0.000374145, -0.160925,
   (34,2,3,0): 0, 0,
   (34,3,0,0): 0, 0,
   (34,3,1,0): 0, 0,
   (34,3,2,0): 0, 0,
   (34,3,3,0): 0.00201293, -0.16114,
   (35,0,0,0): -0.00229344, -0.159994,
   (35,0,1,0): 0, 0,
